Regione;Età;Totale Maschi;Totale Femmine
Trentino-Alto Adige/Südtirol;52;8768;8649
Trentino-Alto Adige/Südtirol;53;8573;8785
Trentino-Alto Adige/Südtirol;54;8864;8871
Trentino-Alto Adige/Südtirol;55;9056;8772
Trentino-Alto Adige/Südtirol;56;8928;8839
Trentino-Alto Adige/Südtirol;57;8356;8283
Trentino-Alto Adige/Südtirol;58;7761;7940
Trentino-Alto Adige/Südtirol;59;7703;7971
Trentino-Alto Adige/Südtirol;60;7522;7482
Trentino-Alto Adige/Südtirol;61;7250;7221
Trentino-Alto Adige/Südtirol;62;6727;6855
Trentino-Alto Adige/Südtirol;63;6398;6863
Trentino-Alto Adige/Südtirol;64;6343;6467
Trentino-Alto Adige/Südtirol;65;5993;6201
Trentino-Alto Adige/Südtirol;66;5787;6031
Trentino-Alto Adige/Südtirol;67;5615;5934
Trentino-Alto Adige/Südtirol;68;5407;5815
Trentino-Alto Adige/Südtirol;69;5335;5555
Trentino-Alto Adige/Südtirol;70;5364;5849
Trentino-Alto Adige/Südtirol;71;5154;5482
Trentino-Alto Adige/Südtirol;72;5295;5657
Trentino-Alto Adige/Südtirol;73;4919;5618
Trentino-Alto Adige/Südtirol;74;5208;6030
Trentino-Alto Adige/Südtirol;75;3729;4247
Trentino-Alto Adige/Südtirol;76;4158;4887
Trentino-Alto Adige/Südtirol;77;4283;5142
Trentino-Alto Adige/Südtirol;78;4195;5045
Trentino-Alto Adige/Südtirol;79;4034;5000
Trentino-Alto Adige/Südtirol;80;3688;4828
Trentino-Alto Adige/Südtirol;81;3488;4540
Trentino-Alto Adige/Südtirol;82;3104;4198
Trentino-Alto Adige/Südtirol;83;2682;3685
Trentino-Alto Adige/Südtirol;84;2310;3489
Trentino-Alto Adige/Südtirol;85;2066;3350
Trentino-Alto Adige/Südtirol;86;1856;3090
Trentino-Alto Adige/Südtirol;87;1659;2817
Trentino-Alto Adige/Südtirol;88;1438;2567
Trentino-Alto Adige/Südtirol;89;1224;2271
Trentino-Alto Adige/Südtirol;90;1022;2194
Trentino-Alto Adige/Südtirol;91;743;1793
Trentino-Alto Adige/Südtirol;92;603;1484
Trentino-Alto Adige/Südtirol;93;472;1252
Trentino-Alto Adige/Südtirol;94;351;973
